SWL,ALW,GCB,SCB,GGBL,MLC,PBC,UNIL,HFC,CMLT,FML
264.0,1412.5,547.0,5901.0,180.0,45.0,515.0,878.3333333333334,103.0,413.3333333333333,270.0
264.0,1412.5,547.0,5901.0,153.33333333333334,43.0,515.0,813.3333333333334,103.0,413.3333333333333,265.6666666666667
264.0,1412.5,547.0,5901.0,152.0,42.0,515.0,802.3333333333334,103.0,413.3333333333333,278.3333333333333
264.0,1412.5,547.0,5915.0,166.0,40.0,515.0,807.0,103.0,413.3333333333333,284.0
264.0,1412.5,547.0,5920.0,170.33333333333334,40.0,515.0,808.0,103.0,413.3333333333333,291.6666666666667
264.0,1412.5,547.0,5920.666666666667,164.33333333333334,39.0,515.0,808.0,103.0,413.3333333333333,303.3333333333333
264.0,1412.5,547.0,5920.0,161.33333333333334,40.0,515.0,816.3333333333334,103.0,413.3333333333333,322.6666666666667
264.0,1412.5,547.0,5920.0,151.66666666666666,43.333333333333336,515.0,816.6666666666666,103.0,413.3333333333333,329.0
264.0,1412.5,547.0,5920.0,135.33333333333334,47.333333333333336,515.0,814.0,103.0,413.3333333333333,330.0
264.0,1412.5,547.0,5920.0,140.33333333333334,49.666666666666664,515.0,818.6666666666666,103.0,413.3333333333333,328.6666666666667
264.0,1412.5,547.0,5920.0,144.0,49.0,515.0,822.0,103.0,413.3333333333333,327.6666666666667
264.0,1412.5,547.0,5920.666666666667,145.0,47.666666666666664,515.0,827.0,103.0,413.3333333333333,341.3333333333333
264.0,1412.5,547.0,5920.333333333333,145.33333333333334,47.0,515.0,832.0,103.0,413.3333333333333,343.0
264.0,1412.5,547.0,5921.666666666667,146.0,46.0,515.0,846.0,103.0,413.3333333333333,349.0
264.0,1412.5,547.0,5920.0,150.0,45.333333333333336,515.0,850.6666666666666,103.0,413.3333333333333,354.6666666666667
264.0,1412.5,547.0,5920.0,153.0,44.666666666666664,515.0,850.0,103.0,413.3333333333333,354.3333333333333
