DATE,Texc
06/10/2015,-0.0102041
07/10/2015,0.0051151
08/10/2015,0
09/10/2015,-0.0051151
13/10/2015,0
16/10/2015,0
21/10/2015,0
22/10/2015,0.0151902
23/10/2015,0.0050125
26/10/2015,-0.0050125
27/10/2015,0
28/10/2015,0.0100001
29/10/2015,-0.0049875
30/10/2015,-0.0050125
02/11/2015,0.0050125
03/11/2015,-0.0050125
05/11/2015,0.0100001
06/11/2015,0.009901
09/11/2015,-0.0049382
10/11/2015,0.0049382
12/11/2015,-0.0049382
13/11/2015,0.0049382
16/11/2015,0.004914
17/11/2015,0.00489
19/11/2015,-0.00489
20/11/2015,0.00489
23/11/2015,0
24/11/2015,0
25/11/2015,0.0048662
27/11/2015,0
30/11/2015,0
01/12/2015,0
02/12/2015,0
07/12/2015,0.0049382
08/12/2015,-0.0049382
09/12/2015,-0.0049628
10/12/2015,0.0049628
11/12/2015,-0.0049628
14/12/2015,0
15/12/2015,0.0049628
16/12/2015,0
17/12/2015,0.0049382
18/12/2015,0
21/12/2015,0
22/12/2015,0
23/12/2015,-0.0049382
29/12/2015,0.0049382
30/12/2015,0
31/12/2015,0.004914
04/01/2016,0
05/01/2016,0.00489
06/01/2016,0
07/01/2016,-0.009804
11/01/2016,0
12/01/2016,0
13/01/2016,0
15/01/2016,-0.004914
19/01/2016,0.004914
20/01/2016,0
21/01/2016,0
