DATE,Tun
17/04/2013,-0.0002947
18/04/2013,-0.0024405
19/04/2013,-0.0037403
22/04/2013,-0.0066118
23/04/2013,0.0031528
24/04/2013,0.0005102
25/04/2013,-0.002408
26/04/2013,0.0033808
29/04/2013,0.0010242
30/04/2013,0.0092154
02/05/2013,-0.0001812
03/05/2013,0.0043507
06/05/2013,0.0031815
07/05/2013,-0.0022297
08/05/2013,-0.0081301
09/05/2013,-0.0078278
10/05/2013,-0.0060101
13/05/2013,-0.0181665
14/05/2013,-0.006794
15/05/2013,0.0006609
16/05/2013,0.0038471
17/05/2013,-0.0017843
20/05/2013,-0.0078592
21/05/2013,0.0050411
22/05/2013,0.0072021
23/05/2013,0.0052767
24/05/2013,0.0068455
04/06/2013,-0.0022516
05/06/2013,-0.0017738
06/06/2013,0.0006981
07/06/2013,-0.001771
10/06/2013,-0.0009918
11/06/2013,0.0011053
12/06/2013,0.0035763
13/06/2013,0.0022497
14/06/2013,0.0053921
17/06/2013,-0.0020351
18/06/2013,-0.0027676
19/06/2013,0.0033226
20/06/2013,0.0015173
21/06/2013,0.0022535
24/06/2013,-0.0026102
25/06/2013,-0.0035782
26/06/2013,-0.0016994
28/06/2013,0.0048656
02/07/2013,-0.000351
03/07/2013,0.0003662
05/07/2013,0.0004892
08/07/2013,0.0016146
09/07/2013,-0.0025349
10/07/2013,-0.0010653
12/07/2013,-0.0009117
15/07/2013,0.0018082
16/07/2013,0.0001993
17/07/2013,0.0029621
18/07/2013,-0.0001984
19/07/2013,-0.0026255
22/07/2013,-0.0011625
23/07/2013,0.0050659
24/07/2013,0.0023336
26/07/2013,-0.0166998
29/07/2013,-0.0073338
30/07/2013,-0.0119743
31/07/2013,0.0087996
01/08/2013,0.0084085
02/08/2013,0.0049753
05/08/2013,0.0005655
06/08/2013,-0.0024815
07/08/2013,0.000205
12/08/2013,-0.0001335
15/08/2013,0.0009241
16/08/2013,-0.0008821
19/08/2013,0.0017042
20/08/2013,0.0002337
21/08/2013,0.0044832
22/08/2013,0.003973
23/08/2013,-0.0000153
26/08/2013,-0.0020494
27/08/2013,0.0013647
28/08/2013,-0.0014973
29/08/2013,-0.0017519
30/08/2013,0.0012827
03/09/2013,-0.0043621
04/09/2013,-0.0029325
05/09/2013,0.0000334
06/09/2013,0.0010653
11/09/2013,0.0005283
12/09/2013,0.0000572
13/09/2013,0.000186
16/09/2013,-0.0012341
17/09/2013,-0.0027437
18/09/2013,0.0002069
19/09/2013,-0.003232
20/09/2013,-0.0014658
24/09/2013,-0.0039968
25/09/2013,-0.0057106
26/09/2013,-0.0023785
27/09/2013,-0.0021362
30/09/2013,0.0019703
02/10/2013,-0.0013494
03/10/2013,-0.0009394
07/10/2013,0.0032444
09/10/2013,9.54E-06
10/10/2013,-0.0018702
14/10/2013,0.001215
18/10/2013,-0.0010042
