DATE,Msem
16/09/2014,0.0005741
17/09/2014,-0.0021377
18/09/2014,0.000947
19/09/2014,-0.0009236
23/09/2014,0.000906
24/09/2014,0.005393
25/09/2014,0.0044827
26/09/2014,0.0049267
29/09/2014,0.0009103
30/09/2014,-0.0000792
01/10/2014,-0.0034499
02/10/2014,0.0044289
03/10/2014,0.0001626
07/10/2014,0.000555
08/10/2014,0.003077
09/10/2014,-0.0024719
10/10/2014,-0.0041838
14/10/2014,-0.0013132
16/10/2014,-0.00385
17/10/2014,-0.0038419
21/10/2014,-0.0015922
22/10/2014,-0.0015478
27/10/2014,0.0013623
28/10/2014,0.0003991
29/10/2014,-0.0000892
30/10/2014,0.0004601
31/10/2014,-0.000596
03/11/2014,-0.0002584
04/11/2014,-0.0032358
05/11/2014,-0.0004144
06/11/2014,-0.0011601
07/11/2014,-0.0021253
10/11/2014,-0.0025992
12/11/2014,-0.0012951
13/11/2014,0.0006642
14/11/2014,-0.0025978
17/11/2014,-0.0011039
19/11/2014,-0.0016541
20/11/2014,-0.0004964
21/11/2014,0.0007873
24/11/2014,-0.0011311
25/11/2014,-0.0004964
26/11/2014,-0.000134
28/11/2014,0.0035005
01/12/2014,0.0003619
02/12/2014,-0.000752
03/12/2014,0.0005522
08/12/2014,-0.0020294
09/12/2014,-0.002965
11/12/2014,-0.0004644
15/12/2014,-0.0027757
16/12/2014,0.0002451
17/12/2014,-0.0034337
18/12/2014,-0.0038815
19/12/2014,-0.0023561
22/12/2014,0.0014553
23/12/2014,0.0035853
24/12/2014,-0.0007396
29/12/2014,0.0014286
30/12/2014,-0.002439
31/12/2014,0.0028152
05/01/2015,-0.0017228
06/01/2015,-0.0039835
07/01/2015,-0.0021653
09/01/2015,0.0013146
12/01/2015,-0.0030217
13/01/2015,0.0001612
15/01/2015,0.0002351
16/01/2015,-0.0007687
20/01/2015,-0.004631
21/01/2015,-0.00243
22/01/2015,-0.0039158
23/01/2015,0.0015149
27/01/2015,-0.0021892
28/01/2015,0.0007663
29/01/2015,-0.0019546
30/01/2015,0.0002427
02/02/2015,-0.0058055
05/02/2015,-0.0023394
06/02/2015,-0.0018277
09/02/2015,-0.0020175
10/02/2015,0.0001006
